"country","date","tested","confirmed","confirmed.tested.ratio","tested.population.ratio","confirmed.population.ratio"
"Afghanistan",NA,154767,49621,32.1,0.4,0.13
"Albania",NA,428654,96838,22.6,15,3.4
"Algeria",NA,230553,58574,25.4,0.53,0.13
"Andorra",NA,300307,37958,12.6,387,49
"Angola",NA,399228,20981,5.3,1.3,0.067
"Antigua and Barbuda",NA,15268,832,5.4,15.9,0.86
"Argentina",NA,35716069,9060495,25.4,78.3,20
"Armenia",NA,3099602,422963,13.6,105,14.3
"Australia",NA,78548492,10112229,12.9,313,40.3
"Austria",NA,205817752,5789991,2.8,2312,65
"Azerbaijan",NA,6838458,792638,11.6,69.1,8
"Bahamas",NA,259366,37483,14.5,67.3,9.7
"Bahrain",NA,10578766,696614,6.6,674,44.4
"Bangladesh",NA,7417714,1151644,15.5,4.5,0.7
"Barbados",NA,770100,103014,13.4,268,35.9
"Belarus",NA,13217569,982809,7.4,139,10.4
"Belgium",NA,36548544,4691499,12.8,317,40.7
"Belize",NA,572900,60694,10.6,140,14.9
"Benin",NA,595112,7884,1.3,5.1,0.067
"Bhutan",NA,1736168,12702,0.73,234,1.71
"Bolivia",NA,4358669,910228,20.9,38.1,8
"Bosnia and Herzegovina",NA,1872934,399887,21.4,54.7,11.7
"Botswana",NA,2026898,232432,11.5,89.9,10.3
"Brazil",NA,23561497,10081676,42.8,11.2,4.8
"Brunei",NA,153804,338,0.22,33.5,0.074
"Bulgaria",NA,10993239,1295524,11.8,158,18.6
"Burkina Faso",NA,158777,12123,7.6,0.76,0.058
"Burundi",NA,90019,884,0.98,0.76,0.0074
"Cambodia",NA,1812706,77914,4.3,11.2,0.48
"Cameroon",NA,942685,32681,3.5,3.6,0.12
"Canada",NA,66343123,4423053,6.7,175,11.7
"Chad",NA,99027,4020,4.1,0.72,0.029
"Chile",NA,48154268,5123007,10.6,252,26.9
"China[c]",NA,1.6e+08,87655,0.055,11.1,0.0061
"Colombia",NA,36875818,6314769,17.1,76.4,13.1
"Costa Rica",NA,2575363,561054,21.8,51.5,11.2
"Croatia",NA,5481285,1267798,23.1,134,31.1
"Cuba",NA,14301394,1112470,7.8,126,9.8
"Cyprus[d]",NA,27820163,644160,2.3,3223,74.4
"Czechia",NA,22544928,4590529,20.4,211,42.9
"Denmark[e]",NA,67682707,3399947,5,1162,58.4
"Djibouti",NA,305941,15631,5.1,33.2,1.7
"Dominica",NA,209803,14821,7.1,293,20.7
"Dominican Republic",NA,3574665,626030,17.5,32.9,5.8
"DR Congo",NA,124838,25961,20.8,0.14,0.029
"Ecuador",NA,1627189,480720,29.5,9.5,2.8
"Egypt",NA,3137519,283947,9.1,3.1,0.28
"El Salvador",NA,1847861,161052,8.7,28.5,2.5
"Equatorial Guinea",NA,403773,17113,4.2,30.8,1.3
"Estonia",NA,3637908,613954,16.9,274,46.2
"Eswatini",NA,415110,49253,11.9,36.5,4.3
"Ethiopia",NA,2981185,278446,9.3,2.6,0.24
"Faroe Islands",NA,774000,34237,4.4,1493,65.7
"Fiji",NA,667953,68848,10.3,74.5,7.7
"Finland",NA,9042453,371135,4.1,163,6.7
"France[f][g]",NA,272417258,29183646,10.7,417,44.7
"Gabon",NA,958807,25325,2.6,3.1,0.082
"Gambia",NA,43217,4469,10.3,2,0.21
"Georgia[h]",NA,4888787,732965,15,132,19.7
"Germany",NA,65247345,3733519,5.7,77.8,4.5
"Ghana",NA,1305749,96708,7.4,4.2,0.31
"Greece",NA,101576831,5548487,5.5,943,51.5
"Greenland",NA,164573,10662,6.5,293,19
"Grenada",NA,28684,161,0.56,25.7,0.14
"Guatemala",NA,6800560,1230098,18.1,39.4,7.1
"Guinea",NA,494898,24878,5,3.8,0.19
"Guinea-Bissau",NA,145231,8400,5.8,7.7,0.45
"Guyana",NA,648569,66129,10.2,82.5,8.4
"Haiti",NA,223475,33874,15.2,2,0.3
"Honduras",NA,1133782,377859,33.3,11.8,3.9
"Hungary",NA,11394556,1909948,16.8,118,19.8
"Iceland",NA,1988652,203162,10.2,546,55.8
"India",NA,866177937,43585554,5,63,31.7
"Indonesia",NA,74941831,6744033,9,27.7,2.5
"Iran",NA,52269202,7232268,13.8,62.8,8.7
"Iraq",NA,19090652,2448484,12.8,47.5,6.1
"Ireland",NA,12990476,1700817,13.1,264,34.6
"Israel",NA,41373364,1792137,4.3,451,19.5
"Italy",NA,269127054,25651205,9.5,446,42.5
