year,month,day,dep_time,sched_dep_time,dep_delay,arr_time,sched_arr_time,arr_delay,carrier,flight,tailnum,origin,dest,air_time,distance,hour,minute,time_hour
2013,1,1,1153,1200,-7,1450,1529,-39,DL,863,N712TW,JFK,LAX,330,2475,12,0,2013-01-01T17:00:00Z
2013,1,1,1154,1200,-6,1253,1306,-13,B6,1174,N206JB,EWR,BOS,40,200,12,0,2013-01-01T17:00:00Z
2013,1,1,1154,1200,-6,1452,1430,22,MQ,4658,N8EGMQ,LGA,ATL,141,762,12,0,2013-01-01T17:00:00Z
2013,1,1,1155,1200,-5,1517,1510,7,AA,3,N322AA,JFK,LAX,353,2475,12,0,2013-01-01T17:00:00Z
2013,1,1,1155,1200,-5,1507,1519,-12,DL,1443,N969DL,LGA,FLL,160,1076,12,0,2013-01-01T17:00:00Z
2013,1,1,1155,1200,-5,1441,1440,1,DL,1947,N904DL,LGA,ATL,133,762,12,0,2013-01-01T17:00:00Z
2013,1,1,1155,1200,-5,1312,1315,-3,MQ,4425,N846MQ,JFK,DCA,57,213,12,0,2013-01-01T17:00:00Z
2013,1,1,1157,1205,-8,1342,1345,-3,MQ,4431,N723MQ,LGA,RDU,80,431,12,5,2013-01-01T17:00:00Z
2013,1,1,1157,1200,-3,1452,1456,-4,UA,1197,N13113,EWR,MCO,151,937,12,0,2013-01-01T17:00:00Z
2013,1,1,1158,1205,-7,1530,1520,10,AA,743,N426AA,LGA,DFW,248,1389,12,5,2013-01-01T17:00:00Z
2013,1,1,1158,1200,-2,1256,1300,-4,WN,1568,N783SW,EWR,BWI,38,169,12,0,2013-01-01T17:00:00Z
2013,1,1,1158,1200,-2,1338,1331,7,UA,701,N588UA,LGA,ORD,142,733,12,0,2013-01-01T17:00:00Z
2013,1,1,1200,1200,0,1408,1356,12,US,1443,N755US,JFK,CLT,102,541,12,0,2013-01-01T17:00:00Z
2013,1,1,1202,1207,-5,1318,1314,4,EV,4347,N11536,EWR,BTV,51,266,12,7,2013-01-01T17:00:00Z
2013,1,1,1203,1205,-2,1501,1437,24,EV,3850,N13978,EWR,ATL,142,746,12,5,2013-01-01T17:00:00Z
2013,1,1,1203,1200,3,1519,1545,-26,VX,25,N843VA,JFK,SFO,353,2586,12,0,2013-01-01T17:00:00Z
2013,1,1,1204,1200,4,1500,1448,12,B6,523,N612JB,EWR,MCO,139,937,12,0,2013-01-01T17:00:00Z
2013,1,1,1205,1200,5,1503,1505,-2,UA,1461,N39418,EWR,IAH,221,1400,12,0,2013-01-01T17:00:00Z
2013,1,1,1206,1209,-3,1325,1328,-3,EV,4216,N14168,EWR,BUF,59,282,12,9,2013-01-01T17:00:00Z
2013,1,1,1211,1215,-4,1423,1413,10,EV,4135,N21537,EWR,CLT,102,529,12,15,2013-01-01T17:00:00Z
2013,1,1,1217,1220,-3,1414,1350,24,MQ,3697,N517MQ,EWR,ORD,143,719,12,20,2013-01-01T17:00:00Z
2013,1,1,1217,1218,-1,1525,1529,-4,UA,391,N573UA,EWR,SFO,345,2565,12,18,2013-01-01T17:00:00Z
2013,1,1,1219,1220,-1,1415,1415,0,AA,1757,N545AA,LGA,STL,161,888,12,20,2013-01-01T17:00:00Z
2013,1,1,1219,1225,-6,1451,1500,-9,DL,1715,N342NB,LGA,MSY,195,1183,12,25,2013-01-01T17:00:00Z
2013,1,1,1220,1220,0,1403,1340,23,WN,133,N254WN,EWR,MDW,142,711,12,20,2013-01-01T17:00:00Z
2013,1,1,1222,1229,-7,1520,1526,-6,B6,27,N192JB,JFK,TPA,160,1005,12,29,2013-01-01T17:00:00Z
2013,1,1,1228,1224,4,1631,1604,27,UA,1114,N38459,EWR,PHX,339,2133,12,24,2013-01-01T17:00:00Z
2013,1,1,1230,1235,-5,1440,1438,2,EV,5311,N741EV,EWR,DTW,108,488,12,35,2013-01-01T17:00:00Z
