"Variety","Stress","Treatment","Mean_Value","Error_Value"
"Variety 1","Stress 1","Treatment 1",20,2
"Variety 1","Stress 2","Treatment 2",22,1.5
"Variety 1","Stress 1","Treatment 3",24,2.5
"Variety 1","Stress 2","Treatment 1",21,1
"Variety 1","Stress 1","Treatment 2",23,2
"Variety 1","Stress 2","Treatment 3",25,1.5
"Variety 2","Stress 1","Treatment 1",18,1.5
"Variety 2","Stress 2","Treatment 2",19,2
"Variety 2","Stress 1","Treatment 3",20,1
"Variety 2","Stress 2","Treatment 1",17,1.5
"Variety 2","Stress 1","Treatment 2",21,2
"Variety 2","Stress 2","Treatment 3",22,1.5
"Variety 3","Stress 1","Treatment 1",30,3
"Variety 3","Stress 2","Treatment 2",32,2.5
"Variety 3","Stress 1","Treatment 3",28,3.5
"Variety 3","Stress 2","Treatment 1",29,2
"Variety 3","Stress 1","Treatment 2",31,2.5
"Variety 3","Stress 2","Treatment 3",27,3
"Variety 4","Stress 1","Treatment 1",26,1.5
"Variety 4","Stress 2","Treatment 2",24,1
"Variety 4","Stress 1","Treatment 3",23,2
"Variety 4","Stress 2","Treatment 1",25,1.5
"Variety 4","Stress 1","Treatment 2",22,2
"Variety 4","Stress 2","Treatment 3",21,1
